Average Stock,Business Segment,Business Type,Lead Behaviour Profile,Lead Type,Mql Id,Sdr Id,Seller Id (Closed Deals),Sr Id,Won Date,Won Date1,Won Month,Won Year,Declared Monthly Revenue,Declared Product Catalog Size,Has Company,Has Gtin
,household_utilities,reseller,cat,online_medium,c556184b3fe2087834850b68fa435cee,09285259593c61296eef10c734121d5b,2d2322d842118867781fc737e96d59a1,2695de1affa7750089c0455f8ce27021,5/22/2018 3:24:08 PM,"May 22, 2018",May 2018,2018,0,,,
,toys,reseller,wolf,online_big,67455a0673f5cf26deae5b270c003e83,4b339f9567d060bcea4f5136b9f5949e,e7012030d0fdd1d3ca504f6de7909c35,9ae085775a198122c5586fa830ff7f2b,6/14/2018 4:30:20 PM,"June 14, 2018",June 2018,2018,0,,,
,sports_leisure,reseller,cat,online_medium,ab11f58a6bf7036a656364b0ba68fb74,068066e24f0c643eb1d089c7dd20cd73,9e7c5f4d7770eab65738cca38f9efccf,de63de0d10a6012430098db33c679b0b,4/10/2018 5:00:00 AM,"April 10, 2018",April 2018,2018,0,,,
20-50,stationery,reseller,cat,industry,bae38661a27f6228ba38c36e766ed769,f42a2bd194f7802ab052a815c8de65b7,6a6b1614baaaf766293c17d8cb8c5a9d,495d4e95a8cf8bbf8b432b612a2aa328,9/10/2018 4:18:01 PM,"September 10, 2018",September 2018,2018,100000,2000,,
,food_drink,manufacturer,cat,online_medium,450b97a48568c3118ff397f73abe4e4a,09285259593c61296eef10c734121d5b,df91910b6a03bb2e3358fa6a35e32f6f,060c0a26f19f4d66b42e0d8796688490,4/10/2018 9:21:54 PM,"April 10, 2018",April 2018,2018,0,,,
,food_supplement,manufacturer,,industry,9878253904482726e741460a99adba86,de63de0d10a6012430098db33c679b0b,92d46311e4fa7583d14c351fdc881af6,4ef15afb4b2723d8f3d81e51ec7afefe,1/26/2018 6:23:46 PM,"January 26, 2018",January 2018,2018,0,,,
,home_decor,manufacturer,cat,online_medium,ed3d878bf23177e7075ce07578841047,9d12ef1a7eca3ec58c545c678af7869c,249f0e9905a6e06ad6c6bea7547ab9f6,fbf4aef3f6915dc0c3c97d6812522f6a,5/11/2018 9:03:19 PM,"May 11, 2018",May 2018,2018,0,,,
,health_beauty,reseller,cat,online_top,119ce5d79e3c006a9e46967bff271cb2,b90f87164b5f8c2cfa5c8572834dbe3f,b494891378bd8f4560abe576c52deacd,4ef15afb4b2723d8f3d81e51ec7afefe,6/19/2018 4:08:22 PM,"June 19, 2018",June 2018,2018,0,,,
,bed_bath_table,reseller,,offline,1f4e960dc47c49ab5c2a495e00055f64,56bf83c4bb35763a51c2baab501b4c67,8c45b4bc4b5c1e2a4e789b4466a39b77,c638112b43f1d1b86dcabb0da720c901,2/7/2018 2:57:02 PM,"February 7, 2018",February 2018,2018,0,,,
,health_beauty,reseller,cat,online_small,05d287893f5f083739da863da2c4b6f8,9e4d1098a3b0f5da39b0bc48f9876645,49f6ca9231352dedda1ad1176ce70531,060c0a26f19f4d66b42e0d8796688490,4/16/2018 3:09:09 PM,"April 16, 2018",April 2018,2018,0,,,
,watches,reseller,,online_big,0b97be8b4b408a3a0780a32e0a143a7f,56bf83c4bb35763a51c2baab501b4c67,7d13fca15225358621be4086e1eb0964,9ae085775a198122c5586fa830ff7f2b,2/8/2018 6:20:14 PM,"February 8, 2018",February 2018,2018,0,,,
,fashion_accessories,manufacturer,,online_beginner,2552a7b886c1710f36be92ac29b1362d,56bf83c4bb35763a51c2baab501b4c67,efa89b428cbc422ba9313b4fc6feafc7,d3d1e91a157ea7f90548eef82f1955e3,2/16/2018 1:31:56 PM,"February 16, 2018",February 2018,2018,0,,,
,jewerly,manufacturer,,online_medium,59c0665c39a2bb9c8776d66f4e8b8f66,fdb16d3cbbeb5798f2f66c4096be026d,cb3666965a560e723403683bd378a5f7,4ef15afb4b2723d8f3d81e51ec7afefe,2/22/2018 1:40:15 PM,"February 22, 2018",February 2018,2018,0,,,
,home_decor,manufacturer,,industry,4151b0029636a1c55afcce9283ac7902,068066e24f0c643eb1d089c7dd20cd73,e819bcfade7b5d88a27325eb6cfd62c5,9ae085775a198122c5586fa830ff7f2b,2/12/2018 2:18:13 PM,"February 12, 2018",February 2018,2018,0,,,
,pet,reseller,,online_small,fc4166d1b1e192f650ee2d807b54c943,fdb16d3cbbeb5798f2f66c4096be026d,70c27847eca8195c983ed7e798c56743,4ef15afb4b2723d8f3d81e51ec7afefe,2/8/2018 9:57:44 PM,"February 8, 2018",February 2018,2018,0,,,
,household_utilities,reseller,shark,industry,85e43237b3fb87d881c757f44f1b0357,4b339f9567d060bcea4f5136b9f5949e,556a6409838156ea299c9d1f9e2dde43,fbf4aef3f6915dc0c3c97d6812522f6a,4/6/2018 10:52:54 PM,"April 6, 2018",April 2018,2018,0,,,
,computers,reseller,cat,online_beginner,9ce2e101957dc53e3e89cc8e1599aa60,09285259593c61296eef10c734121d5b,a4fc6eadaff1576af888509a53420f6a,6565aa9ce3178a5caf6171827af3a9ba,4/13/2018 2:27:48 PM,"April 13, 2018",April 2018,2018,0,,,
,party,manufacturer,eagle,online_medium,9a6b65aedf8177783035f3a53ca21ed1,370c9f455f93a9a96cbe9bea48e70033,0975b0dd18febd1008391fa53dff0891,85fc447d336637ba1df43e793199fbc8,4/18/2018 8:02:08 PM,"April 18, 2018",April 2018,2018,0,,,
20-50,small_appliances,reseller,cat,online_medium,4bb1ec1ff58ad39558e8468054bfc469,9d12ef1a7eca3ec58c545c678af7869c,4fae87d32467e18eb46e4a76a0a0b9ce,a8387c01a09e99ce014107505b92388c,7/19/2018 8:06:07 PM,"July 19, 2018",July 2018,2018,0,,1,1
,food_supplement,reseller,cat,online_small,c34eb63cd098bf4be03d53462d7ecba2,4b339f9567d060bcea4f5136b9f5949e,3525be8392a4fa3274c459bcfee41eef,de63de0d10a6012430098db33c679b0b,7/4/2018 5:07:27 PM,"July 4, 2018",July 2018,2018,0,,,
,health_beauty,reseller,shark,online_medium,e428d5580f729d23e6070e43c492e424,09285259593c61296eef10c734121d5b,8b181ee5518df84f18f4e1a43fe07923,de63de0d10a6012430098db33c679b0b,4/25/2018 5:00:00 AM,"April 25, 2018",April 2018,2018,0,,,
,audio_video_electronics,reseller,wolf,industry,e3c91316d8f28b18d96869aebbb7c3ec,09285259593c61296eef10c734121d5b,d594982fd877af63ace38ea1fca27c76,fbf4aef3f6915dc0c3c97d6812522f6a,6/5/2018 7:20:34 PM,"June 5, 2018",June 2018,2018,0,,,
1-5,computers,reseller,cat,online_medium,72e81de94dfc0373b006ca75e9c851a1,e7dff61b78bebffa71678e126ce669ad,2f1e89e231b096f4ff1f55dfe8607a7b,068066e24f0c643eb1d089c7dd20cd73,10/31/2018 5:54:59 PM,"October 31, 2018",October 2018,2018,0,80,1,
,pet,manufacturer,cat,industry,1cbfa9c878ef8692c1ae21e4cfa11000,34d40cdaf94010a1d05b0d6212f9e909,90269579385b838ce9bd577dcec278a4,85fc447d336637ba1df43e793199fbc8,5/30/2018 4:43:50 PM,"May 30, 2018",May 2018,2018,0,,,
,food_drink,manufacturer,cat,online_medium,b055fc7de322786cd9ddc996cb6e72ff,a8387c01a09e99ce014107505b92388c,398cb257329ef7af7f1943a8974a3cbc,9ae085775a198122c5586fa830ff7f2b,3/6/2018 1:25:29 PM,"March 6, 2018",March 2018,2018,0,,,
,health_beauty,reseller,cat,online_medium,a8d2884db49e0769ad4a0b8dce2e143c,6aa3b86a83d784b05f0e37e26b20860d,d65f74c704563bcb8baa915fbf8cfa1e,de63de0d10a6012430098db33c679b0b,9/27/2018 2:31:01 PM,"September 27, 2018",September 2018,2018,20000,15,,0
,bed_bath_table,manufacturer,,online_beginner,d955b97b28c2966211c9de2fe22fefbd,4b339f9567d060bcea4f5136b9f5949e,26e2c91ef821e1ff8985f408788fe35b,6565aa9ce3178a5caf6171827af3a9ba,2/6/2018 4:46:14 PM,"February 6, 2018",February 2018,2018,0,,,
,car_accessories,reseller,,online_medium,1d7cc0f1d0b54eac3609c5222246595b,56bf83c4bb35763a51c2baab501b4c67,dedcab67899479e4ea5dcc4eba47f587,d3d1e91a157ea7f90548eef82f1955e3,5/15/2018 8:05:25 PM,"May 15, 2018",May 2018,2018,0,,,
,health_beauty,reseller,cat,online_medium,78f9eb91b8c7b3b3967fab18283ec614,370c9f455f93a9a96cbe9bea48e70033,ca4b77513ac2040591b0d8fae6958380,a8387c01a09e99ce014107505b92388c,6/11/2018 2:40:42 PM,"June 11, 2018",June 2018,2018,0,,,
1-5,other,other,cat,other,20fcec0873b39b4df3df34140d77d6e7,084b6fbb10729ed4da8c3d3f5a3ae7c9,cee3c487c56d29554a22d112af618301,0a0fb2b07d841f84fb6714e35c723075,11/14/2018 7:04:19 PM,"November 14, 2018",November 2018,2018,6000,120,0,0
,fashion_accessories,manufacturer,cat,online_beginner,0a1643cb73c25878cc845d5594059afe,068066e24f0c643eb1d089c7dd20cd73,ae9d6bb89361dff26edbccc7e1c2911d,2695de1affa7750089c0455f8ce27021,4/27/2018 4:01:33 PM,"April 27, 2018",April 2018,2018,0,,,
,home_decor,manufacturer,eagle,offline,92c7eacf759c266a7663d63876d84223,9d12ef1a7eca3ec58c545c678af7869c,da3eab58892c04039f4cd5ecb09ae260,c638112b43f1d1b86dcabb0da720c901,3/27/2018 9:14:00 PM,"March 27, 2018",March 2018,2018,0,,,
,audio_video_electronics,reseller,wolf,offline,f72a53e19c3310188cedd074226312c9,34d40cdaf94010a1d05b0d6212f9e909,6e4a902d1054e4e17aa6eab87fac1c75,2695de1affa7750089c0455f8ce27021,6/18/2018 3:58:00 PM,"June 18, 2018",June 2018,2018,0,,,
,home_decor,reseller,cat,online_big,d25814a309be54d1d2279a4ff921ea28,4b339f9567d060bcea4f5136b9f5949e,2d42ebcda99fd55f6f4bc2f1ca035d50,9e4d1098a3b0f5da39b0bc48f9876645,4/11/2018 5:00:00 AM,"April 11, 2018",April 2018,2018,0,,,
,home_decor,manufacturer,cat,online_big,e3ed7cb7b47e4079cb9fef895846b3e2,9d12ef1a7eca3ec58c545c678af7869c,04843805947f0fc584fc1969b6e50fe7,fbf4aef3f6915dc0c3c97d6812522f6a,4/18/2018 6:50:40 PM,"April 18, 2018",April 2018,2018,0,,,
,car_accessories,reseller,,online_medium,413e4eb37de01f40522e28ecdc268639,4b339f9567d060bcea4f5136b9f5949e,d9d057968270cdb30c14cba606d5dc90,495d4e95a8cf8bbf8b432b612a2aa328,3/29/2018 7:48:42 PM,"March 29, 2018",March 2018,2018,0,,,
,food_drink,manufacturer,,industry,c1e598764329cc9c377ef1d029be8ceb,fdb16d3cbbeb5798f2f66c4096be026d,d4dcd3a31f5f19aea2f258a568517a4f,060c0a26f19f4d66b42e0d8796688490,2/22/2018 2:18:26 PM,"February 22, 2018",February 2018,2018,0,,,
,pet,manufacturer,cat,online_medium,9cca8d684240e24dd459f2d439fae30c,9e4d1098a3b0f5da39b0bc48f9876645,28760737b4b82d4479ddff8db5e9f71f,4ef15afb4b2723d8f3d81e51ec7afefe,2/27/2018 9:04:12 PM,"February 27, 2018",February 2018,2018,0,,,
,food_supplement,reseller,cat,online_beginner,0d99b130d767e50e22b528261ffe5550,34d40cdaf94010a1d05b0d6212f9e909,0dccb6973ef48a00fbcccfe907181ab0,a8387c01a09e99ce014107505b92388c,6/11/2018 2:04:11 PM,"June 11, 2018",June 2018,2018,0,,,
,audio_video_electronics,reseller,cat,online_big,7c9ac4388867d4cc3f1cf9c05ad7e944,9749123c950bf8363ace42cb1c2d0815,751e274377499a8503fd6243ad9c56f6,4ef15afb4b2723d8f3d81e51ec7afefe,7/30/2018 4:34:51 PM,"July 30, 2018",July 2018,2018,0,,,
,construction_tools_house_garden,reseller,cat,offline,2c5d0b35798bffadf8f67ef0af84d183,56bf83c4bb35763a51c2baab501b4c67,93a55b2252867fd7df54c78cbd5c6d95,fbf4aef3f6915dc0c3c97d6812522f6a,4/2/2018 4:20:33 PM,"April 2, 2018",April 2018,2018,0,,,
,bags_backpacks,manufacturer,cat,industry,e5860ae00103b3869a25d940345bf0fd,34d40cdaf94010a1d05b0d6212f9e909,1185ae3e5ac0463c854dad54fc8fc9e1,495d4e95a8cf8bbf8b432b612a2aa328,4/13/2018 2:50:35 PM,"April 13, 2018",April 2018,2018,0,,,
,construction_tools_house_garden,reseller,eagle,online_medium,014c073ef65e4a7ef73acd61cf606164,9d12ef1a7eca3ec58c545c678af7869c,2646baaf662d4d92ac48f047e35db92d,4ef15afb4b2723d8f3d81e51ec7afefe,3/23/2018 8:06:54 PM,"March 23, 2018",March 2018,2018,0,,,
,construction_tools_house_garden,manufacturer,cat,online_medium,3a91a097116d6c8b32d41e0c81dd1e9c,a8387c01a09e99ce014107505b92388c,e433f5fd4050e3352b5d83522b7fe24b,9e4d1098a3b0f5da39b0bc48f9876645,4/26/2018 5:00:00 AM,"April 26, 2018",April 2018,2018,0,,,
,jewerly,reseller,cat,online_small,1030d227d3fe9ed0555666c4ffd14ab1,9e4d1098a3b0f5da39b0bc48f9876645,5cc5fe3c6e303fb7656ee7b0ca21ed58,6565aa9ce3178a5caf6171827af3a9ba,3/12/2018 2:21:11 PM,"March 12, 2018",March 2018,2018,0,,,
,audio_video_electronics,reseller,cat,online_small,1c69de363482d0cbc9b6da97cb49757a,f42a2bd194f7802ab052a815c8de65b7,dc64d75cc406bb0697be983831430e60,85fc447d336637ba1df43e793199fbc8,4/30/2018 11:13:36 PM,"April 30, 2018",April 2018,2018,0,,,
,home_decor,manufacturer,wolf,online_medium,415ae4e297c08fd8790a5b1e1ba8482e,4b339f9567d060bcea4f5136b9f5949e,08d1c9478fb0d7d7fcac9c0da4e82fc7,de63de0d10a6012430098db33c679b0b,4/27/2018 3:35:00 PM,"April 27, 2018",April 2018,2018,0,,,
5-20,toys,reseller,cat,online_big,a55b94066766f2d29fc22a3bb52d78f6,fdb16d3cbbeb5798f2f66c4096be026d,5181ea7b0d346ed14c5c07f0ff22b2b4,4ef15afb4b2723d8f3d81e51ec7afefe,9/4/2018 4:15:04 PM,"September 4, 2018",September 2018,2018,180000,1000,,
,small_appliances,reseller,cat,online_big,f5da97d441cd42b0b26c10145b71a923,9d12ef1a7eca3ec58c545c678af7869c,ee2fbacc2fc3794e656cc4d933d59ce7,fbf4aef3f6915dc0c3c97d6812522f6a,5/18/2018 8:08:22 PM,"May 18, 2018",May 2018,2018,0,,,
,home_office_furniture,manufacturer,cat,offline,682e8ae60182137d74d90ada9e0947d8,a8387c01a09e99ce014107505b92388c,7fc87cc3e89b3d1d5cabdca32f8485aa,4ef15afb4b2723d8f3d81e51ec7afefe,2/27/2018 8:19:47 PM,"February 27, 2018",February 2018,2018,0,,,
,home_decor,reseller,,online_medium,77abef21c838da55e14ffc88016ce91f,068066e24f0c643eb1d089c7dd20cd73,eba08391609dfda5c016fdd264f9383b,6565aa9ce3178a5caf6171827af3a9ba,1/12/2018 5:07:27 PM,"January 12, 2018",January 2018,2018,0,,,
,car_accessories,reseller,cat,online_medium,46d9834fa62209a6504b2aabe46d7bfb,56bf83c4bb35763a51c2baab501b4c67,8b3317388df29d5fa94360a486ad3356,6565aa9ce3178a5caf6171827af3a9ba,2/26/2018 1:45:46 PM,"February 26, 2018",February 2018,2018,0,,,
,car_accessories,reseller,cat,online_big,009ff90f082aaa9fcd6e14caf65c7cc6,a8387c01a09e99ce014107505b92388c,134285d1f41da5c13a756ee8142c8a4e,9e4d1098a3b0f5da39b0bc48f9876645,4/3/2018 5:00:00 AM,"April 3, 2018",April 2018,2018,0,,,
,health_beauty,reseller,cat,online_medium,29b97ecc5839e61efb7bdc25e979d8c6,09285259593c61296eef10c734121d5b,e9e446d01bd10a97a8ffcfc4a3a20cb2,d3d1e91a157ea7f90548eef82f1955e3,4/27/2018 6:11:57 PM,"April 27, 2018",April 2018,2018,0,,,
,pet,reseller,cat,online_small,8d6be534a8bdd08e11efe57c6ce3dd21,a8387c01a09e99ce014107505b92388c,6061155addc1e54b4cfb51c1c2a32ad8,2695de1affa7750089c0455f8ce27021,4/27/2018 10:44:40 PM,"April 27, 2018",April 2018,2018,0,,,
,home_decor,manufacturer,cat,online_small,4979feabd6097fb6100fd36c3c32aae0,56bf83c4bb35763a51c2baab501b4c67,bba8d0c234a52b87b3957037a215d1a4,c638112b43f1d1b86dcabb0da720c901,2/22/2018 10:07:50 PM,"February 22, 2018",February 2018,2018,0,,,
,food_drink,reseller,,offline,5985e72b3752e4749926885db1b45be4,56bf83c4bb35763a51c2baab501b4c67,044668ccd5316b12a7cf0d54a156e3e9,4ef15afb4b2723d8f3d81e51ec7afefe,1/31/2018 10:00:13 PM,"January 31, 2018",January 2018,2018,0,,,
,music_instruments,reseller,cat,industry,048bb2f901e2c6f99bc9d26b78b47129,0a0fb2b07d841f84fb6714e35c723075,fc813dd7e04b8a1c9c10e8e9c10cd5f9,4ef15afb4b2723d8f3d81e51ec7afefe,6/25/2018 9:33:44 PM,"June 25, 2018",June 2018,2018,0,,,
5-20,bed_bath_table,reseller,"cat, wolf",online_medium,58caf27a48e7930aefd5437298d64a70,45749fb708130f78d0db07d8d80f030b,922f6795c9e65f2485d4e63af76586ff,34d40cdaf94010a1d05b0d6212f9e909,9/21/2018 8:18:15 PM,"September 21, 2018",September 2018,2018,30000,50,1,1
,computers,reseller,eagle,offline,2b094148a9d10109b903715267c4dd14,56bf83c4bb35763a51c2baab501b4c67,224167f6e956da2f71c0e8dbdaa8bbf0,4ef15afb4b2723d8f3d81e51ec7afefe,3/12/2018 2:14:10 PM,"March 12, 2018",March 2018,2018,0,,,
,pet,reseller,,online_top,e5f15cc640c8a7408103dd190ced966c,068066e24f0c643eb1d089c7dd20cd73,30a81d8cf85fb2ada1b1b094c9583a95,4ef15afb4b2723d8f3d81e51ec7afefe,1/19/2018 5:51:28 PM,"January 19, 2018",January 2018,2018,0,,,
,home_decor,manufacturer,cat,online_medium,a15880813bd2f137e9f6922cbb7255bf,a8387c01a09e99ce014107505b92388c,7e417525a6ce49b708fd384e580fe3c4,6565aa9ce3178a5caf6171827af3a9ba,4/3/2018 7:19:55 PM,"April 3, 2018",April 2018,2018,0,,,
,car_accessories,reseller,cat,online_big,3bcc8997df233ab581f30dd65f14698c,34d40cdaf94010a1d05b0d6212f9e909,b6cac2bb2d83cae903e336e6a993c795,de63de0d10a6012430098db33c679b0b,4/23/2018 4:31:35 PM,"April 23, 2018",April 2018,2018,0,,,
,household_utilities,reseller,cat,online_small,afac78e614dac1a1470030ea55c08eef,de63de0d10a6012430098db33c679b0b,0ddefe3c7a032b91f4e25b9c3a08fca1,6565aa9ce3178a5caf6171827af3a9ba,2/9/2018 4:35:51 PM,"February 9, 2018",February 2018,2018,0,,,
,car_accessories,reseller,cat,online_medium,d0b2ef3bdc9ed0fce3d672ec52dc9c00,a8387c01a09e99ce014107505b92388c,45dfe11016c782d99a19f93dd34c300d,060c0a26f19f4d66b42e0d8796688490,3/16/2018 3:17:34 PM,"March 16, 2018",March 2018,2018,0,,,
,audio_video_electronics,reseller,wolf,online_medium,496515dec2a1c280f145f6ccb34851fb,09285259593c61296eef10c734121d5b,6f835fd4be26989b1b064399da346143,d3d1e91a157ea7f90548eef82f1955e3,4/27/2018 6:09:25 PM,"April 27, 2018",April 2018,2018,0,,,
,food_drink,reseller,,industry,17c77fd570aa86b74387fae66d9d4edd,de63de0d10a6012430098db33c679b0b,3e35a8bb43569389d3cebef0ce820f69,4ef15afb4b2723d8f3d81e51ec7afefe,1/18/2018 12:09:00 PM,"January 18, 2018",January 2018,2018,0,,,
,health_beauty,reseller,cat,online_medium,cc4ec90b270b9f1de8dc2d8864425252,b90f87164b5f8c2cfa5c8572834dbe3f,a7d0f8dd44f57ef6de7f7f02e3d82630,85fc447d336637ba1df43e793199fbc8,4/27/2018 11:38:40 PM,"April 27, 2018",April 2018,2018,0,,,
,computers,reseller,cat,online_beginner,f0b314f185b80cf35d986e298db53fe3,34d40cdaf94010a1d05b0d6212f9e909,a663d9c3797e90eac99ff60939416a56,060c0a26f19f4d66b42e0d8796688490,4/27/2018 11:08:34 PM,"April 27, 2018",April 2018,2018,0,,,
,construction_tools_house_garden,reseller,,online_beginner,902a621ebb8a96c516d34a58334eb0ee,e7dff61b78bebffa71678e126ce669ad,2aef4c8187ab057d6f1b7e0e636aa481,a8387c01a09e99ce014107505b92388c,8/28/2018 7:09:31 PM,"August 28, 2018",August 2018,2018,6,4,,
,home_decor,reseller,cat,online_small,a1ad46372861ecf61fdab04c7bf5082e,9e4d1098a3b0f5da39b0bc48f9876645,8e3338430e8b66d28aa88fa892a00063,fbf4aef3f6915dc0c3c97d6812522f6a,2/26/2018 9:32:17 PM,"February 26, 2018",February 2018,2018,0,,,
,construction_tools_house_garden,reseller,cat,industry,7893b5468710641ad87f8b4aa1b8777d,068066e24f0c643eb1d089c7dd20cd73,3084dcdea01fe4f2d556540e6b2e873d,060c0a26f19f4d66b42e0d8796688490,4/3/2018 8:56:08 PM,"April 3, 2018",April 2018,2018,0,,,
,computers,reseller,,online_beginner,a82596c6fd3ed643b18a2a942eb6ddc9,de63de0d10a6012430098db33c679b0b,a213f1bd6458f4a158f3746cb2514559,d3d1e91a157ea7f90548eef82f1955e3,4/26/2018 6:05:43 PM,"April 26, 2018",April 2018,2018,0,,,
,home_decor,reseller,cat,online_small,36f6d5bde803873f6bffe9949f258935,9e4d1098a3b0f5da39b0bc48f9876645,a56e351445e5863fc8960640ba9190c7,495d4e95a8cf8bbf8b432b612a2aa328,2/26/2018 9:02:10 PM,"February 26, 2018",February 2018,2018,0,,,
5-20,audio_video_electronics,reseller,wolf,online_medium,4ddc45a9de1065695a90e87be37471c0,e7dff61b78bebffa71678e126ce669ad,9d590e1df0faffd9ceaa1f0f0ea9af2f,2695de1affa7750089c0455f8ce27021,9/21/2018 8:49:49 PM,"September 21, 2018",September 2018,2018,0,50,1,1
,home_office_furniture,reseller,wolf,online_medium,d2c1295f655a2d436edda96084211820,9d12ef1a7eca3ec58c545c678af7869c,f49987b20beada69981c57899ffd1095,56bf83c4bb35763a51c2baab501b4c67,8/3/2018 7:41:00 PM,"August 3, 2018",August 2018,2018,0,,,
,home_decor,manufacturer,,online_medium,1cfef7cfd8d26b1ecb8b0eccca6366ca,068066e24f0c643eb1d089c7dd20cd73,5cb4a72356883c59790dc8309cddea2f,9ae085775a198122c5586fa830ff7f2b,1/30/2018 5:30:17 PM,"January 30, 2018",January 2018,2018,0,,,
,household_utilities,manufacturer,,online_big,2708ccf204c47df56b5469327e900581,de63de0d10a6012430098db33c679b0b,fcdd820084f17e9982427971e4e9d47f,4ef15afb4b2723d8f3d81e51ec7afefe,2/15/2018 6:38:42 PM,"February 15, 2018",February 2018,2018,0,,,
,home_appliances,reseller,cat,online_medium,44ebc4e28c99d8aeaead73b4b70cc5e9,370c9f455f93a9a96cbe9bea48e70033,131fcb0a0c9a47bba4474aacff0f14b7,9e4d1098a3b0f5da39b0bc48f9876645,4/20/2018 5:00:00 AM,"April 20, 2018",April 2018,2018,0,,,
,health_beauty,reseller,cat,online_medium,62e44187d92348c552952aa4bf152e90,09285259593c61296eef10c734121d5b,3d5d0dc7073a299e31fa718ce1bc00b6,4ef15afb4b2723d8f3d81e51ec7afefe,5/7/2018 6:42:08 PM,"May 7, 2018",May 2018,2018,0,,,
,food_supplement,manufacturer,wolf,industry,5931bbfb35cc483290f5dd6a9fda8ee5,4b339f9567d060bcea4f5136b9f5949e,0db0dce302e414422ed38aabd133ae04,2695de1affa7750089c0455f8ce27021,6/18/2018 2:46:31 PM,"June 18, 2018",June 2018,2018,0,,,
,car_accessories,reseller,cat,online_medium,0f2ad81c100f7a6c7475bd26ceb76cbf,9e4d1098a3b0f5da39b0bc48f9876645,3492e68f37fd1df87f4f2f2ea247f445,6565aa9ce3178a5caf6171827af3a9ba,2/12/2018 7:46:06 PM,"February 12, 2018",February 2018,2018,0,,,
