Product Category Name,Product Id (Products),Product Description Length,Product Height Cm,Product Length Cm,Product Name Length,Product Photos Qty,Product Weight G,Product Width Cm
construcao_ferramentas_construcao,556702ebb73d3786a852ad3d5a8ad268,339,8,25,54,1,4800,25
pet_shop,a3a03c131926ec14d4c9f3ef03016b24,463,20,40,54,1,700,20
beleza_saude,e586ebb6022265ae1eea38f46ffe3ead,1469,21,18,40,3,1050,27
eletroportateis,278b3c6462e86b4556b99989513ddf73,587,20,20,58,3,350,20
perfumaria,0d009643171aee696f4733340bc2fdd0,150,16,21,52,1,422,18
relogios_presentes,be1be330cf34043d1c40d6114cbd11b5,484,13,19,51,1,317,16
agro_industria_e_comercio,07f01b6fcacc1b187a71e5074199db2d,430,66,63,39,1,16400,56
beleza_saude,75b4372e69a42f8ae1d908c076f547b2,1313,22,29,22,1,938,23
beleza_saude,3569d4374a919941a50f57371b1dc93d,1168,16,21,37,1,2700,31
cama_mesa_banho,a3c95dc653d9a279b160bc0179385ed1,1146,18,30,39,1,1750,30
ferramentas_jardim,0992c6cba95a13bfa68ea7d5e22d478b,671,12,29,42,1,3850,24
perfumaria,b1eae565a61935e0011ee7682fef9dc9,460,13,17,49,2,267,17
instrumentos_musicais,2734390ee304b0f4817b3c233094fc16,2367,40,55,59,3,16200,40
cama_mesa_banho,32ee3f4e2493045726807808d7abbab6,381,9,38,54,2,1400,27
cama_mesa_banho,c2367eda4f9623d0355dc5d7796d857a,607,10,100,50,1,6450,11
moveis_decoracao,7f34b85142d1ef9e077a0da9ada27385,1750,3,105,59,3,2300,70
informatica_acessorios,c478b1bbf9ec8c5691f37ccb83187386,163,8,25,55,2,300,18
esporte_lazer,f9ecf420c38b90a8af8e7f70fd789264,101,10,50,43,1,600,12
beleza_saude,3a6a0247ced9dcb444b46caafdcdd368,2497,20,20,60,1,3600,20
beleza_saude,adf591c625cb265c12bc6749d3a2f757,1146,24,20,60,6,150,33
esporte_lazer,3e0f398b664b26e3224c79dbf435191f,900,4,16,57,4,400,11
telefonia,64c8f1a52b407d92518a1f8b79240a70,319,6,18,49,1,100,11
moveis_decoracao,af16005fca813272caf59c432153949e,1186,8,53,55,2,800,20
automotivo,e6a1ff3552ba3305c1cf0a4dde50347f,703,19,47,58,6,5250,23
automotivo,d8a405c732027a2af3187b031890933d,361,4,35,50,1,200,26
relogios_presentes,ce94e3c41145e28428cdae952a1fd7f2,899,11,17,58,2,335,12
cama_mesa_banho,3f0f8de616df6efb39a48f3c64eea974,701,12,50,49,1,1300,12
moveis_decoracao,6ddc95e87149457c4c5177b0a474a9ba,1405,2,35,47,3,150,25
informatica_acessorios,a2e2851eae0aebb8ee4df32348b42e2b,504,4,16,59,3,367,11
relogios_presentes,723f62c36c298037716bf60c0ad0df3a,276,2,16,57,4,250,11
moveis_decoracao,b2b3503e675abbc07e278151da072ed2,287,25,75,46,1,8500,55
bebes,c18c01e09509a509e2b88d3ed40c580e,1039,25,42,46,1,2150,15
,a41e356c76fab66334f36de622ecbd3a,,14,17,,,650,12
esporte_lazer,e7cad5e8ed9b92e788262ad710c33bd0,663,5,16,56,4,150,11
cama_mesa_banho,c33d78b97260227119fb2b71be168fca,170,10,27,39,1,650,22
eletroportateis,e8fd6f481db77b847e7ab93fa1510e7e,794,26,20,53,4,2700,32
utilidades_domesticas,67bea89008edcb996cfe4e3d062b62a8,414,22,23,56,1,1200,16
moveis_sala,e8e86cbab028363545a5bf0ca5e226ee,312,10,55,36,2,6050,46
esporte_lazer,c12b64bf0861a27e0f06c36ef82f457d,425,6,16,53,1,150,11
casa_construcao,6f0169f259bb0ff432bfff7d829b9946,918,20,16,58,6,1050,16
pet_shop,b6f3b8136ba8302906df7e11ff908751,617,7,23,36,1,1350,30
utilidades_domesticas,2be2be0a6a5916840503fdf50808ebcb,270,6,36,41,1,600,19
moveis_decoracao,8efa775719397f78f79c8e5c7b0afbd4,275,18,30,22,1,1000,18
cama_mesa_banho,9e87e3ee09baee5f5c0513ff37bc60ab,381,8,43,58,2,1550,33
cama_mesa_banho,a0abcee0132a5aed003d98e459b37698,223,13,45,58,1,2700,35
telefonia,7f6308ba4057a6a740af7b4dcfb79c13,1930,5,19,63,9,200,11
malas_acessorios,1eb4a9aee05c9cad041e09add2a26d68,244,8,38,51,1,800,28
perfumaria,8da90b37f0fb171b4877c124f965b1f6,733,13,18,56,3,377,15
esporte_lazer,712a72a78ffb66cb6eee87eebbf54519,1049,22,45,52,3,400,43
sinalizacao_e_seguranca,c5fb7fbe39f4e09e048ffbc5b28db49a,1212,5,16,51,1,450,16
climatizacao,f17b05cc8a7651896df8c30884200e9a,547,51,32,30,1,2000,16
fashion_bolsas_e_acessorios,55ec10b39713ee81ee2c5bcb558cf866,1398,2,16,53,1,300,11
moveis_decoracao,c190c4fe582c5b7ffff586506de83f01,160,14,26,34,1,250,14
esporte_lazer,f908df99196805b5bc4ada9ef510b11b,245,15,60,57,2,1950,15
telefonia,ac5bae85a895724330c4acddd581b02b,1254,15,16,50,2,500,11
,d8dee61c2034d6d075997acef1870e9b,,7,16,,,300,20
artes,cbaff83e2c00a2b731d27276bbf52082,1431,15,70,59,6,7900,70
cama_mesa_banho,ad67f74682943e3857eebf3ca2538d1a,261,9,41,53,2,1800,34
ferramentas_jardim,1e12f1836c1f08b25ef78fcdf76fbf08,884,3,37,60,1,900,23
fashion_bolsas_e_acessorios,acd427ee119d5c71c7a85ae488cb0a6a,68,2,16,52,7,200,11
bebes,60cf4effb6947283fa638d570bd07318,410,70,80,30,4,4500,28
consoles_games,51fed4afb1b41d00ad9d25a73b7fbbc7,303,7,21,48,3,250,15
utilidades_domesticas,bb09cce52b336261572a5a7e25a33795,943,25,16,59,1,550,12
malas_acessorios,65a6462e42e05ab3b8dc613566736825,540,12,39,49,4,1100,28
cama_mesa_banho,f2396540fbfac27b5117f0dbd6744b50,222,20,40,53,1,3600,40
consoles_games,70d1bd3a042448105a71d0b41ecbc96b,235,3,16,56,1,100,11
esporte_lazer,0075c14603d80515e20908c156ceb47b,329,18,16,50,2,150,16
esporte_lazer,5a42f73d92034010a4e00360fb0df099,144,13,18,55,1,3775,16
cool_stuff,bcd58b852a3b0152b6b384c4e4474ba2,797,20,25,59,2,1400,20
consoles_games,2bfb0bdbcea77da2879f0ef3be9a219e,439,7,22,53,5,900,18
relogios_presentes,87fb220044e9aca16fbec51c6c997aa0,438,12,20,60,2,250,20
brinquedos,484bf1dff778a416389aafd0dee1cb11,852,9,21,55,1,350,16
,56139431d72cd51f19eb9f7dae4d1617,,20,20,,,200,20
bebes,3cef8174403f4fdedbf24fa67fa9f132,805,32,18,39,3,1800,27
moveis_sala,003938452c98ff9ab28e9e7b4bfe97ab,420,8,50,52,2,5050,50
automotivo,8d6cb00151d423c52855385c89f0bae8,386,50,50,58,1,27100,50
eletrodomesticos,5877301b00f95e3c6118738b293dfab3,273,8,65,50,1,1500,38
relogios_presentes,e0bbe6292471ff5ab3752414baf78111,572,11,16,43,2,500,11
cama_mesa_banho,dd768d259ee6054e0dadd66c8e2be0b6,700,10,16,52,2,350,16
automotivo,fc2edee55f4118969f4dc49f7a717605,1548,12,16,47,3,500,17
esporte_lazer,b521fddf2c8a7e7d1791bfb3c1b2f278,448,20,20,55,1,1000,20
,46b48281eb6d663ced748f324108c733,,30,41,,,18500,41
brinquedos,db7e6804f1a8206a7e51c9a741a09d9e,410,11,24,51,2,300,24
beleza_saude,50556c630443502c11acde1c320fe278,257,2,16,59,1,250,20
beleza_saude,88d2c501ec765f5d7e8038fa6aab0e62,863,40,40,51,1,10700,40
utilidades_domesticas,722fb67c17907e21734449c091420bf5,290,21,32,29,1,1700,22
ferramentas_jardim,43b6d9e46e1e6b8ac743a1c31e462937,680,28,39,31,1,7700,25
esporte_lazer,1ffe365aa7583189e63f2fa4f060b269,785,60,20,57,4,5200,35
telefonia,3014e35fd70fce29095ced5cdc89f4ce,244,10,17,51,1,125,14
moveis_escritorio,e869d449cc32881790ef9af9b4c670f8,2220,28,58,50,1,15700,58
relogios_presentes,a1b3a75aaaee5c9a683f2266c088f720,599,11,16,53,2,350,11
esporte_lazer,7fdbc1ecf5fdf5c98d9b14e110133eb3,649,10,16,57,1,213,13
fashion_bolsas_e_acessorios,15b3d40f375c0645c1eed4ed1cd8e17a,401,11,16,30,3,150,11
automotivo,1cf39a397efa955b102a52ee7ec5531c,907,15,56,35,3,18200,15
utilidades_domesticas,f9471562478eba8761bc985b968a0092,390,21,18,38,1,850,15
casa_construcao,e96bac5656eaec25f3d76757fa16d9d3,918,20,16,55,6,1050,16
fashion_bolsas_e_acessorios,16b06ede456b922e56fbb4b3818aa875,382,9,16,48,5,200,11
utilidades_domesticas,c7147724cd430269c6296fc758c0a086,42,15,16,32,1,300,11
informatica_acessorios,dbb399a8be7395d5b136d49fcdce13df,764,9,23,47,1,200,13
esporte_lazer,ed46d1fbd7bf78ce79910c09fb892abb,406,25,20,52,1,800,25
papelaria,d458378a178cd7cae60052319cebf235,198,7,24,50,2,200,14
esporte_lazer,596363933adf57df745ecbc8afeec226,853,10,46,50,1,698,14
telefonia,4473f3e5c65952b074ef987fa5c24662,776,4,17,59,6,350,12
livros_interesse_geral,8c9faf6aabee9b2a30b83f92d786f6de,2913,5,24,50,3,1000,17
informatica_acessorios,8e71b24c3e25a92fef6176120a67fac7,585,13,21,53,1,783,28
perfumaria,828fe032935d7c1901682e5b6cc076c2,1063,20,20,48,2,600,20
brinquedos,19502a282608c5627fb32e22724727fc,181,30,55,47,1,11650,30
construcao_ferramentas_ferramentas,df473738565b52f77b4e22b328b41576,369,2,16,42,1,400,11
brinquedos,657491063e8a63247a108a4d9cedf020,274,10,40,25,1,3050,40
telefonia,a388f2043ca885de714453e4fac616e2,744,3,16,50,1,100,11
ferramentas_jardim,4c6018f41a6c2e5543cc034e94f5ce5b,2395,25,40,44,1,16500,26
utilidades_domesticas,a85543a371d5cfafedb80a8177a692b5,470,14,34,59,2,750,24
fashion_underwear_e_moda_praia,6b017e0d95d8765a6f2bed3bc272c61e,422,4,36,39,1,250,20
malas_acessorios,6d14f72afff32795290f2df6507f063c,413,14,84,59,3,2300,20
eletronicos,75b433ca888fe027b18dfac89a284667,374,12,33,37,1,1350,26
utilidades_domesticas,9aa70106d14b83c7ad033592870b2b30,388,20,17,22,3,530,20
automotivo,42fe4aefc7e8a45dd96a59af81dd3fef,162,20,20,59,1,1300,20
fashion_calcados,a04cf12934a318be6550b1aeab938bf2,605,14,57,59,5,4000,36
esporte_lazer,224703229a7c966a5b191651e1561be2,234,20,20,52,4,8150,20
construcao_ferramentas_construcao,43724b27731595d954e911f443fb1cc4,272,2,16,57,1,2200,11
beleza_saude,b29ca3d3127057c43ef4b364bbe360ea,1029,25,20,55,1,1150,20
relogios_presentes,5e21d5cab5d33e770d8150a4ee6117db,312,2,16,60,4,200,11
moveis_decoracao,55610b8b7d48294e69fc23f513dfbe98,1068,20,16,60,3,400,16
moveis_decoracao,68bfdbfe84f03af17733b10362f10020,244,12,29,63,4,600,23
,5fb61f482620cb672f5e586bb132eae9,,7,35,,,300,12
cama_mesa_banho,a5bc1334f1762ce0a844f3f694dc08e1,645,10,16,48,1,1200,16
cool_stuff,701ff123e9085dcc9c2f833efded6374,268,63,61,50,5,10664,35
utilidades_domesticas,73b499a2f5002c0a2158a478cc5a096c,2148,12,50,43,2,1800,36
esporte_lazer,42f14eda412436b96cde4f4025ed5f25,154,2,16,47,3,500,11
papelaria,47969dd948e918289f809be899ddfb4c,501,12,19,48,1,258,19
papelaria,446295cf6f689d4db477145815362608,209,44,16,59,1,1400,37
brinquedos,280c05c66173c2b377f3e449e33abc6d,640,7,35,59,1,400,35
climatizacao,4a96de21ccfb22ebe1c56992acbbd7fc,655,10,30,58,5,1300,30
cama_mesa_banho,c45a1de8cdb00af9ba1f3c097561b77a,315,10,30,55,2,1000,25
pet_shop,1b37262ebd1307a6c9aab9aca8584e76,1290,10,30,52,3,1300,18
brinquedos,04869307f7e7dc5b07f1d83406ade1e5,443,36,38,58,2,3305,19
bebes,8bb6ace4cf2411747ea1cfecad5a458d,224,15,75,55,2,6000,50
informatica_acessorios,21db47f6493b06e8e7fc562ec9890e77,281,5,35,50,4,300,25
cama_mesa_banho,f4d705aa95ccca448e5b0deb6e5290ba,74,2,20,57,1,250,15
perfumaria,bbaef2eadf31fe3ea6702077398be06c,1003,11,18,45,2,400,11
eletronicos,3fc3d637781e5d185455013606a6e2cd,1274,10,16,32,1,250,30
brinquedos,21d325f98c6505a72b1bcf363f3d3f88,1532,19,29,57,2,1250,22
fashion_roupa_masculina,f6691c7e7a0c12d28003c97608dfe605,1026,6,40,47,2,950,40
pet_shop,c615805546392ec3b8a20c6590c4d400,261,34,30,54,6,2000,17
bebes,6e9c52b407fea24064f7ab2b144fbf8c,1395,81,71,56,7,13575,44
beleza_saude,e07f6e9343cad06f34d0a7a09eeac4d7,537,16,17,60,1,667,16
relogios_presentes,80fc21f90a43fdcfc623f11f5457db10,457,11,17,55,2,267,12
cama_mesa_banho,9cafef108028ea326352e901a8b729a7,609,20,45,60,2,1750,40
beleza_saude,dd783a33bc94bef9c728611320d559e7,1113,12,16,52,1,150,11
brinquedos,ec019a7e1feb42072e2a07b6317c7edb,135,7,65,48,1,10550,45
utilidades_domesticas,20424e1f503b9ceeeee60b717b11ec36,1298,35,100,57,1,1725,16
malas_acessorios,795ed173180b101b114960e572d2181f,215,10,45,43,1,700,31
esporte_lazer,40a75445dcf4958b8c9b3dac6898094b,1318,16,34,29,1,400,16
papelaria,fff0a542c3c62682f23305214eaeaa24,146,10,30,23,3,300,20
casa_construcao,21419fbb5e6e21591c1dc83cb75aec07,1582,25,60,59,1,5850,25
relogios_presentes,d801448d8cf48fd15a66dc8779d47241,687,11,17,47,1,267,13
cama_mesa_banho,d1fbb5683c8e93f314d0f2bf40d07761,155,12,39,53,2,1500,25
cool_stuff,4e7f36f28c51e114a343625b628dd429,727,16,24,42,1,400,14
esporte_lazer,58bef3ad35aed45b92cf03510e6cf5ce,3830,32,31,54,1,1300,31
utilidades_domesticas,532d7f19b8005e415f5b98a1cf4a8690,172,10,16,58,1,400,14
artes,aedb7e30007f6051c5b3f97156b0848a,195,2,25,32,1,150,19
beleza_saude,c752f2bc46ad4b389290cf5828a1db62,654,13,25,40,1,650,14
consoles_games,7207700449f2433076d70a5b1c004eb4,421,8,32,44,1,706,38
fashion_bolsas_e_acessorios,582dfc3697c5f834a5ddf28460ba9222,251,10,25,59,1,300,25
cama_mesa_banho,54910b8287ecea5f93a008ebfa94a15c,242,5,75,41,1,4850,50
automotivo,ecaae002060173ec59f5b168cbd55d70,1741,24,20,51,1,825,15
informatica_acessorios,9e48435521202c8795e21ac42efcc761,432,3,46,31,1,600,15
esporte_lazer,f46c384460008df0071849d01b39834f,527,9,23,53,2,700,11
moveis_decoracao,4fe53f6c123977ffa0dda91a2962c9e8,1442,10,40,51,1,300,27
utilidades_domesticas,7aeb83cae61b0e94e6426cba2598ad9e,471,14,17,55,2,1270,17
construcao_ferramentas_ferramentas,3fc23ad64a8ee1f1451c8c44932c5d22,338,2,20,40,1,450,11
,e10758160da97891c2fdcbc35f0f031d,,2,16,,,2200,11
eletrodomesticos,dccef777bc505f2eca720502c209988d,173,8,18,56,1,150,13
ferramentas_jardim,b6be875acca0b4862cae6479c5d9e6fa,192,3,16,49,1,200,11
moveis_cozinha_area_de_servico_jantar_e_jardim,84e1b9c6ba2ed178bd217097b41f1251,859,88,33,50,1,10893,44
utilidades_domesticas,93c285dad77a797cf2193ead6afbe107,524,7,25,53,1,1800,20
brinquedos,1ba7948f3aa31cdaf78a4885f3c5385a,566,33,20,29,2,1220,22
beleza_saude,6a61a5d77a8571a0646e8c0f75f572f4,1368,19,30,53,6,360,22
eletronicos,0e40b1ed4cfd3da1962ec91913e54ba8,424,11,22,52,1,175,15
pet_shop,2de8789bf8abcd2f6c7866f9429b1986,852,13,50,50,1,1900,70
esporte_lazer,d394d30215872be4cda2c67c1ce5b981,621,20,20,37,5,250,20
bebes,9181a16945ef449aa81212d5139945ec,1261,11,85,58,3,6950,50
utilidades_domesticas,b166907a5770631b7deedd0891b1b7ab,1094,5,55,57,1,1100,40
bebes,302a19dacdbb5ed2f74f9dee8126ef79,882,7,17,64,5,300,24
moveis_escritorio,1fb2c1a0d7f863e0644077cb5d8f80df,2261,28,58,41,1,16500,58
malas_acessorios,0a17941f41b99d2f070fab54b458a4a4,453,23,16,28,1,300,19
eletronicos,98190f6a2c3253d07ca86525bb238162,813,6,61,25,1,1836,24
beleza_saude,a18a23a783fb7576a8f0f6fbc2ae2b58,822,22,18,59,1,175,16
brinquedos,e2c3ed9aaddfd2312a6a5fe9b3ddadd3,579,24,22,53,1,675,21
esporte_lazer,71c808620fa8dafbe6cd6c638cc67567,568,5,26,58,4,200,20
industria_comercio_e_negocios,25cdef5b1428725aa16b8b9a6fbd72ca,1058,20,30,58,1,1200,30
informatica_acessorios,a1bf559ac1eab015ba992bd76d9d76c7,1074,2,39,32,2,200,30
moveis_escritorio,3b82733180834cc02658403163260204,1193,61,63,46,2,16100,24
telefonia,eca3036ef7ba11b3331c334b7053fe13,443,4,19,51,1,117,12
telefonia_fixa,6b75ce117b8fcc75289cb6cbe589de6c,1217,18,36,27,1,455,27
cama_mesa_banho,23ab7bb9eac81e85ec43ed71064cf7ce,613,10,16,55,1,550,16
fashion_calcados,5cfe07a11fd4f35d3c5ca21cd60cee6e,404,12,22,54,4,750,33
cool_stuff,78119fbfa709d07b86f5ccf15043c6d6,447,11,18,43,2,586,13
construcao_ferramentas_iluminacao,9138555a5066b7f16bf15e75c7db067c,919,27,16,57,6,540,16
esporte_lazer,1ec5373950b7877c5de483a123223810,2819,20,30,42,1,3700,20
utilidades_domesticas,34607082301052079a3bffcd12c5ecfb,623,17,30,57,4,3150,30
cama_mesa_banho,4ceab0364ce2bef8363b89f4719bbff7,296,27,53,57,1,2100,40
construcao_ferramentas_seguranca,c9fe02894880831f6f28d5ac212d036f,1006,19,20,51,3,314,18
cama_mesa_banho,3c883b9d3fd2d0ce448d4136349dc0a4,153,15,23,49,1,550,23
automotivo,98d0e0ca6213edc063889593a2475e36,978,35,70,55,1,13825,49
cama_mesa_banho,f2c1df0fc307ec60e3321c708c1dcac3,431,6,40,42,1,850,50
bebes,622d3b263cd40b06e1eeea144fb83f19,200,4,21,19,1,250,13
brinquedos,15cd31f93b25e5a517f05b1af31d353f,1475,20,20,55,1,400,20
perfumaria,cd7701670288642f7be9437dec9034c1,606,20,16,48,2,400,15
consoles_games,3519403062e217f433e0bbdc52e0b19f,211,2,16,25,1,200,16
automotivo,37dffde0476450e75dae423136954b0f,1023,20,20,60,5,250,20
informatica_acessorios,d68bd4dedccc5545b1ff6629de8fb021,813,11,17,53,4,1950,12
moveis_decoracao,e4c0d69bafff0157f574aae9a147a8c1,607,10,35,49,1,300,25
relogios_presentes,b6b4ab44d1f3c2a645abbda76af2a993,364,45,30,54,1,1050,11
automotivo,d19d6968c8fa843da04bf9c9d23c312f,1373,7,16,53,4,400,11
instrumentos_musicais,de984954e2e130136bcf8988bc973d90,234,9,56,40,1,1000,22
esporte_lazer,c6336fa91fbd87c359e44f5dca5a90ed,772,16,16,39,1,150,11
beleza_saude,d10abea506594de1dd5ea21851f94062,876,16,16,60,1,700,16
consoles_games,4bae12e58c9b828e1302a2cad437b80a,358,7,17,47,3,450,17
beleza_saude,aba0932cedf32b2a7b6b832f11769613,556,12,30,29,1,2000,16
construcao_ferramentas_construcao,f777c903946dd86fd00cd5b32ec3e907,954,20,20,57,4,21400,20
,39e3b9b12cd0bf8ee681bbc1c130feb5,,7,16,,,300,11
informatica_acessorios,2e511b5741ab14e7f5294df6f1310b03,2515,16,20,52,1,188,15
moveis_decoracao,74f250adf8f41738ca96718232a41499,646,30,16,56,1,300,20
fashion_bolsas_e_acessorios,f16ced867a24a244afefb5b867f337df,487,60,26,38,2,13600,40
moveis_decoracao,1ce0e963805e3c170485768e8b09fe65,1342,25,25,50,3,800,25
,794de06c32a626a5692ff50e4985d36f,,8,18,,,300,14
moveis_decoracao,a530b23a71594d0d986a30359e207762,600,12,65,49,2,1400,12
relogios_presentes,d294bd539d8c70342149beb38b767afc,295,11,13,50,1,650,12
construcao_ferramentas_construcao,fe9184887637170f6da65623475d6a66,2457,17,26,37,1,600,17
moveis_decoracao,3da6f3c6c1ac8c36ff45b1a493a44e82,1969,11,69,58,2,3000,11
malas_acessorios,8a4667ce8c036b0d54dd65a38298bfc0,224,10,46,45,1,950,33
moveis_decoracao,26d114f0b4f14f5e3b3db0e211019777,582,35,42,51,2,17400,42
fashion_roupa_masculina,ef22b718807d8b96162d9b021912f178,940,2,16,36,2,300,11
informatica_acessorios,599e5320aef0c7dd9e3fed9b2f673d41,1224,20,20,52,2,700,20
pet_shop,acfc0fd945c522a0d2266d45bcdd91c6,1545,16,21,56,2,625,17
ferramentas_jardim,2029248294c186017ecfc48cecd47bbd,586,14,32,44,3,3250,22
fashion_calcados,e8f22df5fa5b454907286aa61d6216a8,404,12,22,57,2,1500,33
cama_mesa_banho,4da06dee0a480b5d666886ea00b4d9b3,228,3,32,54,1,250,23
